site_name,keyword,search_volume,competition,competition_index,cpc,market,batch_id,source,category,intent,recommended_asset,priority,priority_score
筷子,how to use chopsticks,90500,LOW,7,0.09,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,236
筷子,how to handle chopsticks,90500,LOW,7,0.09,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,236
筷子,instructions on how to use chopsticks,90500,LOW,7,0.09,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,236
筷子,how to hold chopsticks,40500,LOW,6,0.08,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,221
筷子,how do you hold chopsticks,40500,LOW,6,0.08,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,221
筷子,how do i hold chopsticks,40500,LOW,6,0.08,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,221
筷子,gold chopsticks,60500,LOW,6,0.94,us-en,existing-export,existing-export,general,mixed,pillar page,P1,205
筷子,chopsticks,135000,MEDIUM,55,0.68,us-en,existing-export,existing-export,general,mixed,pillar page,P1,204
筷子,how to eat with chopsticks,6600,LOW,12,0.09,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,186
筷子,how do i eat with chopsticks,6600,LOW,12,0.09,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,186
筷子,how do you eat with chopsticks,6600,LOW,12,0.09,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,186
筷子,how to eat in chopsticks,6600,LOW,12,0.09,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,186
筷子,how to eat using chopsticks,6600,LOW,12,0.09,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,186
筷子,how to use chopstick for beginner,6600,LOW,15,0.1,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,186
筷子,how to use chopsticks for beginners,6600,LOW,15,0.1,us-en,problems-scenarios,primary,tutorial,informational,single guide + tool/report embed,P1,186
筷子,how do you hold chopsticks properly,3600,LOW,10,0.08,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,176
筷子,how to hold chopstick properly,3600,LOW,10,0.08,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,176
筷子,bamboo chopsticks,5400,HIGH,97,2,us-en,existing-export,existing-export,types-products,commercial,comparison page / affiliate page,P1,171
筷子,how do you use chopsticks,2400,LOW,10,0.16,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,169
筷子,how to use chopsticks easy,2400,LOW,13,0.13,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,168
筷子,how do you eat rice with chopsticks,1900,LOW,1,0.11,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,167
筷子,how to eat rice with chopstick,1900,LOW,1,0.11,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,167
筷子,how to use chopsticks to eat rice,1900,LOW,1,0.11,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,167
筷子,chopsticks china,2400,LOW,6,1.97,us-en,expansion,expansion,general,mixed,pillar page,P1,163
筷子,stainless steel chopsticks,5400,HIGH,100,0.5,us-en,existing-export,existing-export,types-products,commercial,published article 2026-07-01,P1,155
筷子,chopsticks stainless,5400,HIGH,100,0.5,us-en,types-materials,primary,types-products,commercial,comparison page / affiliate page,P1,155
筷子,wooden chopsticks,4400,HIGH,100,0.74,us-en,existing-export,existing-export,types-products,commercial,published article 2026-07-01,P1,154
筷子,how to eat noodle with chopsticks,1000,LOW,1,0.06,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,154
筷子,how to eat noodles using chopsticks,1000,LOW,1,0.06,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,154
筷子,how to eat noodles with chopsticks,1000,LOW,1,0.06,us-en,core,primary,tutorial,informational,single guide + tool/report embed,P1,154
筷子,how do i use chopsticks correctly,1000,LOW,13,0.11,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,152
筷子,how do you properly use chopsticks,1000,LOW,13,0.11,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,152
筷子,how do you use chopsticks correctly,1000,LOW,13,0.11,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,152
筷子,how do you use chopsticks properly,1000,LOW,13,0.11,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,152
筷子,how to proper use chopsticks,1000,LOW,10,0.1,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,152
筷子,how to use chopstick correctly,1000,LOW,13,0.11,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,152
筷子,how to eat ramen with chopsticks,880,LOW,0,0.06,us-en,core,primary,tutorial,informational,single guide + tool/report embed,P1,152
筷子,chopstick holder,2400,HIGH,100,0.65,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,151
筷子,chopsticks and holder,2400,HIGH,100,0.65,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,151
筷子,chopsticks with holder,2400,HIGH,100,0.65,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,151
筷子,eating with chopsticks,1300,LOW,33,0.11,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,151
筷子,chopsticks for eating,1300,LOW,33,0.11,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,151
筷子,eat using chopsticks,1300,LOW,33,0.11,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,151
筷子,ceramic chopstick holder,1900,HIGH,88,0.64,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,150
筷子,chopstick holder ceramic,1900,HIGH,88,0.64,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,150
筷子,metal chopsticks,3600,HIGH,100,0.56,us-en,existing-export,existing-export,types-products,commercial,comparison page / affiliate page,P1,149
筷子,korean chopsticks,8100,HIGH,89,0.27,us-en,existing-export,existing-export,general,mixed,pillar page,P1,148
筷子,chinese chopsticks,4400,MEDIUM,61,0.5,us-en,existing-export,existing-export,general,mixed,pillar page,P1,147
筷子,china chopsticks,4400,MEDIUM,61,0.5,us-en,existing-export,existing-export,general,mixed,pillar page,P1,147
筷子,cheng chopsticks,1300,LOW,3,1.12,us-en,expansion,expansion,general,mixed,pillar page,P1,147
筷子,chinese chopsticks how to use,720,LOW,12,0.11,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,146
筷子,chopstick how to,720,LOW,9,0.06,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,146
筷子,eat rice with chopsticks,590,LOW,1,0.19,us-en,existing-export,existing-export,tutorial,informational,single guide + tool/report embed,P1,146
筷子,japanese chopsticks,4400,HIGH,100,1.18,us-en,existing-export,existing-export,general,mixed,pillar page,P1,145
筷子,chopsticks japanese,4400,HIGH,100,1.18,us-en,types-materials,primary,general,mixed,pillar page,P1,145
筷子,reusable chopsticks,2900,HIGH,100,0.56,us-en,existing-export,existing-export,types-products,commercial,comparison page / affiliate page,P1,145
筷子,non disposable chopsticks,2900,HIGH,100,0.56,us-en,existing-export,existing-export,types-products,commercial,comparison page / affiliate page,P1,145
筷子,silver chopsticks,2400,MEDIUM,59,1.15,us-en,existing-export,existing-export,general,mixed,pillar page,P1,144
